ProductID,ProductName,Category,UnitPrice
P084,expedite_24/7_platforms_Indeed,Electronics,199.47
P085,extend_one-to-one_users_Age,Books,406.18
P086,innovate_collaborative_interfaces_Among,Electronics,141.24
P087,iterate_best-of-breed_e-tailers_Able,Home Goods,366.27
P088,incubate_back-end_channels_Second,Groceries,207.33
P089,envisioneer_enterprise_platforms_Think,Toys,218.83
P090,incubate_real-time_info-mediaries_Lead,Home Goods,158.5
P091,mesh_world-class_supply-chains_Man,Home Goods,297.64
P092,transition_turn-key_portals_Laugh,Home Goods,54.98
P093,grow_bricks-and-clicks_applications_Hold,Clothing,298.85
P094,utilize_dot-com_initiatives_Under,Clothing,89.5
P095,disintermediate_synergistic_e-commerce_Test,Books,76.13
P096,matrix_collaborative_applications_Know,Groceries,133.63
P097,scale_intuitive_schemas_General,Home Goods,425.56
P098,integrate_world-class_partnerships_Learn,Groceries,177.94
P099,facilitate_killer_users_Agreement,Clothing,325.86
P100,empower_distributed_models_Student,Groceries,163.87
