TransactionID,CustomerID,ProductID,SaleDate,SaleTimestamp,Quantity,TotalAmount
T000083,C0079,P021,2024-03-23,2024-03-23 23:14:32.886263,3,676.17
T000084,C0166,P021,2023-05-26,2023-05-26 19:54:32.588327,3,676.17
T000085,C0262,P058,2024-11-11,2024-11-11 21:50:28.667635,1,362.84
T000086,C0392,P034,2025-01-28,2025-01-28 08:25:59.536447,2,610.76
T000087,C0292,P087,2025-01-20,2025-01-20 04:13:23.386708,4,1465.08
T000088,C0054,P050,2024-12-07,2024-12-07 18:52:21.057186,1,415.1
T000089,C0450,P075,2024-11-05,2024-11-05 05:02:20.465122,2,798.56
T000090,C0251,P060,2024-03-16,2024-03-16 16:28:38.085520,3,278.88
T000091,C0454,P047,2024-08-29,2024-08-29 00:49:29.917549,2,102.5
T000092,C0348,P086,2024-02-23,2024-02-23 14:03:11.477562,3,423.72
T000093,C0358,P060,2024-02-09,2024-02-09 08:50:54.032468,5,464.8
T000094,C0252,P060,2023-12-20,2023-12-20 13:05:07.039484,3,278.88
T000095,C0046,P011,2025-02-25,2025-02-25 21:22:46.044204,5,1108.7
T000096,C0348,P052,2024-10-22,2024-10-22 06:22:16.868477,5,589.55
T000097,C0103,P014,2023-10-27,2023-10-27 21:43:33.129369,2,610.6
T000098,C0460,P061,2023-09-11,2023-09-11 07:18:05.695543,2,222.36
T000099,C0369,P036,2024-04-10,2024-04-10 23:28:39.634192,2,122.0
T000100,C0418,P100,2023-10-06,2023-10-06 14:26:18.537659,2,327.74
T000101,C0359,P002,2024-04-01,2024-04-01 13:40:18.422617,4,837.96
T000102,C0397,P056,2024-02-24,2024-02-24 01:38:47.559947,1,262.45
T000103,C0068,P045,2024-01-19,2024-01-19 04:09:45.501872,3,647.19
T000104,C0369,P010,2023-08-08,2023-08-08 06:57:15.358697,4,571.44
T000105,C0058,P013,2024-06-16,2024-06-16 18:34:51.686451,2,995.72
T000106,C0068,P011,2023-12-04,2023-12-04 02:17:41.013872,2,443.48
T000107,C0460,P036,2025-04-12,2025-04-12 00:49:02.506778,4,244.0
T000108,C0198,P026,2025-02-22,2025-02-22 23:35:34.779147,4,1155.12
T000109,C0086,P009,2024-01-12,2024-01-12 20:42:56.196303,1,184.84
T000110,C0353,P084,2025-05-03,2025-05-03 10:16:24.991877,1,199.47
T000111,C0060,P037,2023-08-04,2023-08-04 01:01:03.662895,4,421.88
T000112,C0398,P007,2023-10-24,2023-10-24 17:48:29.471037,2,60.08
T000113,C0037,P013,2025-01-16,2025-01-16 06:27:00.365642,2,995.72
T000114,C0441,P003,2023-07-06,2023-07-06 11:12:07.949125,1,220.93
T000115,C0224,P089,2023-06-23,2023-06-23 15:34:39.294719,5,1094.15
T000116,C0297,P085,2024-01-07,2024-01-07 22:27:45.039774,1,406.18
T000117,C0032,P037,2023-11-29,2023-11-29 16:31:44.718721,1,105.47
T000118,C0321,P099,2023-07-14,2023-07-14 05:15:56.763702,4,1303.44
T000119,C0139,P098,2023-11-13,2023-11-13 02:27:29.730132,1,177.94
T000120,C0268,P056,2023-09-22,2023-09-22 09:32:39.243881,5,1312.25
T000121,C0482,P092,2024-12-10,2024-12-10 22:06:31.222356,3,164.94
T000122,C0231,P088,2025-02-13,2025-02-13 01:49:06.809097,3,621.99
T000123,C0376,P037,2023-09-20,2023-09-20 22:56:37.802647,5,527.35
T000124,C0437,P073,2025-03-15,2025-03-15 05:14:54.794564,5,212.7
T000125,C0180,P040,2024-08-12,2024-08-12 17:24:44.884644,1,79.81
T000126,C0131,P006,2024-05-14,2024-05-14 15:17:31.577214,1,264.06
T000127,C0424,P098,2024-09-12,2024-09-12 09:59:23.213943,3,533.82
T000128,C0015,P083,2023-10-19,2023-10-19 16:17:50.995017,3,342.72
T000129,C0152,P094,2023-09-15,2023-09-15 19:24:14.309492,1,89.5
T000130,C0483,P001,2024-11-11,2024-11-11 00:22:25.445978,4,913.64
T000131,C0275,P017,2023-09-26,2023-09-26 06:26:45.095201,1,42.05
T000132,C0496,P066,2023-12-23,2023-12-23 02:37:57.648155,2,588.32
T000133,C0325,P099,2024-02-13,2024-02-13 22:10:36.983594,1,325.86
T000134,C0227,P069,2025-04-11,2025-04-11 04:13:03.478097,5,2247.3
T000135,C0084,P085,2025-01-29,2025-01-29 12:28:13.688951,3,1218.54
T000136,C0225,P068,2024-01-12,2024-01-12 00:55:43.794493,5,2387.15
T000137,C0463,P060,2024-07-30,2024-07-30 12:55:30.244628,3,278.88
T000138,C0049,P079,2024-05-05,2024-05-05 00:27:50.299412,5,1707.65
T000139,C0362,P074,2024-07-13,2024-07-13 09:48:25.689035,3,1042.17
T000140,C0432,P095,2025-04-11,2025-04-11 20:57:13.501512,1,76.13
T000141,C0280,P022,2024-08-03,2024-08-03 05:36:03.969919,4,1064.68
T000142,C0048,P050,2024-03-25,2024-03-25 12:03:48.668287,1,415.1
T000143,C0104,P018,2024-03-23,2024-03-23 18:24:41.896431,2,423.96
T000144,C0367,P006,2024-05-14,2024-05-14 05:28:31.787670,5,1320.3
T000145,C0302,P009,2024-09-06,2024-09-06 02:13:35.196895,2,369.68
T000146,C0496,P015,2024-10-28,2024-10-28 23:23:17.322511,5,225.95
T000147,C0427,P006,2023-11-19,2023-11-19 21:15:16.386896,1,264.06
T000148,C0353,P005,2023-11-21,2023-11-21 02:36:12.709710,2,699.58
T000149,C0266,P042,2023-07-31,2023-07-31 06:29:57.278651,3,755.97
T000150,C0188,P018,2025-01-13,2025-01-13 20:04:51.403214,1,211.98
T000151,C0073,P011,2023-11-03,2023-11-03 09:06:28.621228,1,221.74
T000152,C0460,P069,2024-08-08,2024-08-08 14:32:46.411450,3,1348.38
T000153,C0317,P048,2023-07-02,2023-07-02 16:35:55.966887,2,896.86
T000154,C0363,P092,2024-02-19,2024-02-19 06:48:22.345530,5,274.9
T000155,C0011,P074,2025-03-27,2025-03-27 16:02:32.340512,2,694.78
T000156,C0405,P092,2023-12-06,2023-12-06 22:07:26.232769,3,164.94
T000157,C0073,P073,2024-08-17,2024-08-17 19:25:35.565680,5,212.7
T000158,C0335,P018,2025-02-23,2025-02-23 21:08:29.161823,4,847.92
T000159,C0335,P075,2024-03-11,2024-03-11 23:47:41.779831,3,1197.84
T000160,C0018,P013,2023-09-22,2023-09-22 06:03:08.713072,1,497.86
T000161,C0247,P086,2024-12-27,2024-12-27 14:02:09.459097,1,141.24
T000162,C0376,P083,2025-03-27,2025-03-27 12:22:08.895173,1,114.24
T000163,C0157,P100,2024-04-20,2024-04-20 03:58:10.243110,2,327.74
T000164,C0368,P002,2024-12-20,2024-12-20 17:15:21.686651,1,209.49
T000165,C0024,P040,2024-05-26,2024-05-26 05:29:17.117816,2,159.62
T000166,C0475,P026,2025-01-21,2025-01-21 11:15:34.839563,1,288.78
T000167,C0316,P077,2024-05-18,2024-05-18 14:08:41.356539,4,398.28
T000168,C0143,P084,2024-09-22,2024-09-22 01:02:33.828449,3,598.41
T000169,C0366,P056,2024-08-17,2024-08-17 23:27:18.289479,2,524.9
T000170,C0416,P015,2025-03-12,2025-03-12 02:15:25.055875,4,180.76
T000171,C0242,P035,2024-01-14,2024-01-14 05:55:44.499241,2,623.46
T000172,C0074,P081,2025-03-22,2025-03-22 14:45:01.773026,1,328.71
T000173,C0322,P062,2024-08-10,2024-08-10 07:39:24.340953,1,332.13
T000174,C0297,P041,2024-01-24,2024-01-24 03:35:14.799014,5,2013.6
T000175,C0474,P006,2024-08-31,2024-08-31 13:30:18.977395,1,264.06
T000176,C0196,P023,2024-10-16,2024-10-16 03:00:45.309923,1,264.98
T000177,C0379,P093,2024-02-09,2024-02-09 23:39:22.280324,2,597.7
T000178,C0198,P059,2024-07-28,2024-07-28 13:49:42.268878,4,600.84
T000179,C0486,P024,2024-01-12,2024-01-12 22:10:39.367452,2,515.94
T000180,C0200,P051,2024-05-03,2024-05-03 12:09:33.305203,4,956.24
T000181,C0018,P069,2023-10-09,2023-10-09 04:58:12.616256,1,449.46
T000182,C0428,P079,2023-07-11,2023-07-11 20:19:11.157615,2,683.06
T000183,C0279,P048,2023-07-09,2023-07-09 12:29:06.392924,4,1793.72
T000184,C0378,P084,2024-07-23,2024-07-23 10:12:12.372980,3,598.41
T000185,C0070,P047,2023-10-10,2023-10-10 22:30:51.779712,2,102.5
T000186,C0048,P050,2023-06-11,2023-06-11 17:43:36.722362,4,1660.4
T000187,C0348,P051,2023-09-28,2023-09-28 01:01:16.882922,2,478.12
T000188,C0453,P004,2023-07-04,2023-07-04 09:54:53.602340,4,295.96
T000189,C0216,P037,2024-02-12,2024-02-12 16:27:46.431285,5,527.35
T000190,C0286,P097,2023-11-08,2023-11-08 22:04:01.109051,3,1276.68
T000191,C0018,P075,2024-05-17,2024-05-17 22:12:49.510136,2,798.56
T000192,C0399,P044,2025-03-31,2025-03-31 02:12:06.761898,5,2317.45
T000193,C0040,P025,2025-01-05,2025-01-05 20:24:58.987582,5,600.6
T000194,C0449,P093,2023-07-19,2023-07-19 11:17:38.511575,4,1195.4
T000195,C0128,P041,2024-03-03,2024-03-03 13:37:22.346135,3,1208.16
T000196,C0327,P087,2025-01-02,2025-01-02 09:56:28.048051,2,732.54
T000197,C0133,P014,2025-03-24,2025-03-24 23:30:22.732972,2,610.6
T000198,C0314,P074,2025-05-04,2025-05-04 07:50:21.280043,5,1736.95
T000199,C0339,P089,2023-11-19,2023-11-19 13:03:33.400536,2,437.66
T000200,C0190,P075,2025-01-09,2025-01-09 09:14:14.998546,1,399.28
T000201,C0394,P009,2025-04-15,2025-04-15 09:16:47.591490,3,554.52
T000202,C0462,P029,2024-02-14,2024-02-14 21:11:40.232394,3,335.49
T000203,C0424,P048,2024-11-23,2024-11-23 00:53:11.134838,2,896.86
T000204,C0486,P023,2023-09-27,2023-09-27 04:43:58.957606,3,794.94
T000205,C0306,P049,2025-03-15,2025-03-15 15:27:34.925286,3,153.21
T000206,C0046,P043,2024-02-06,2024-02-06 11:36:28.969259,4,59.44
T000207,C0096,P054,2024-04-07,2024-04-07 06:47:56.063181,4,1720.0
T000208,C0079,P011,2024-11-21,2024-11-21 12:17:08.294772,4,886.96
T000209,C0326,P027,2025-03-18,2025-03-18 21:59:31.652348,3,512.85
T000210,C0472,P073,2025-01-16,2025-01-16 18:26:10.143256,2,85.08
T000211,C0118,P013,2024-05-25,2024-05-25 13:41:47.492603,2,995.72
T000212,C0092,P080,2024-04-10,2024-04-10 03:54:55.430860,3,54.42
T000213,C0086,P098,2024-03-25,2024-03-25 04:32:15.030799,3,533.82
T000214,C0240,P088,2025-01-08,2025-01-08 23:16:39.989101,5,1036.65
T000215,C0290,P055,2025-04-08,2025-04-08 06:28:55.727495,3,1340.4
T000216,C0001,P004,2023-05-15,2023-05-15 16:17:35.779856,4,295.96
T000217,C0340,P098,2023-08-10,2023-08-10 18:45:17.758166,1,177.94
T000218,C0221,P093,2023-05-11,2023-05-11 12:19:48.669774,4,1195.4
T000219,C0492,P061,2024-06-09,2024-06-09 19:30:09.896497,4,444.72
T000220,C0084,P032,2024-06-02,2024-06-02 03:14:45.044530,1,249.28
T000221,C0111,P034,2025-01-07,2025-01-07 05:26:07.937141,4,1221.52
T000222,C0419,P035,2024-07-01,2024-07-01 04:35:44.351138,4,1246.92
T000223,C0170,P061,2023-12-19,2023-12-19 23:32:20.016966,4,444.72
T000224,C0341,P089,2024-07-28,2024-07-28 05:15:46.455309,5,1094.15
T000225,C0089,P093,2024-09-05,2024-09-05 11:17:02.363328,2,597.7
T000226,C0036,P047,2023-09-12,2023-09-12 12:10:36.729253,1,51.25
T000227,C0163,P052,2024-11-10,2024-11-10 17:03:39.853464,1,117.91
T000228,C0286,P036,2025-03-05,2025-03-05 07:44:58.026812,2,122.0
T000229,C0304,P049,2024-06-07,2024-06-07 02:18:38.182943,1,51.07
T000230,C0445,P069,2024-04-16,2024-04-16 03:28:23.864835,1,449.46
T000231,C0335,P093,2024-01-29,2024-01-29 06:57:24.793846,1,298.85
T000232,C0103,P093,2024-07-20,2024-07-20 00:23:33.138093,5,1494.25
T000233,C0160,P032,2024-02-18,2024-02-18 17:07:21.006883,4,997.12
T000234,C0464,P034,2023-06-08,2023-06-08 19:37:31.343675,2,610.76
T000235,C0248,P096,2023-09-17,2023-09-17 14:43:05.153984,5,668.15
T000236,C0167,P063,2024-03-02,2024-03-02 06:10:56.368021,3,738.39
T000237,C0441,P044,2024-05-12,2024-05-12 01:42:11.956181,2,926.98
T000238,C0330,P044,2023-05-20,2023-05-20 16:52:04.627044,5,2317.45
T000239,C0030,P095,2024-05-01,2024-05-01 13:51:24.286436,2,152.26
T000240,C0015,P009,2023-06-17,2023-06-17 08:04:53.964047,3,554.52
T000241,C0165,P041,2023-08-30,2023-08-30 13:37:43.750185,4,1610.88
T000242,C0257,P063,2023-09-02,2023-09-02 08:56:56.550086,1,246.13
T000243,C0387,P080,2024-08-13,2024-08-13 15:57:05.929453,1,18.14
T000244,C0416,P100,2024-11-29,2024-11-29 06:56:30.685770,5,819.35
T000245,C0223,P025,2023-10-12,2023-10-12 18:56:37.276201,5,600.6
T000246,C0156,P017,2024-02-12,2024-02-12 03:09:31.852903,1,42.05
T000247,C0168,P056,2024-09-04,2024-09-04 23:26:55.011252,1,262.45
T000248,C0211,P054,2025-02-28,2025-02-28 03:21:38.301029,2,860.0
T000249,C0406,P021,2024-09-14,2024-09-14 11:51:44.048870,1,225.39
T000250,C0060,P054,2024-12-16,2024-12-16 03:59:20.417339,2,860.0
T000251,C0499,P046,2023-09-09,2023-09-09 03:05:16.709242,5,1582.0
T000252,C0132,P045,2023-10-23,2023-10-23 10:02:09.543224,4,862.92
T000253,C0191,P048,2024-06-09,2024-06-09 18:24:41.306530,5,2242.15
T000254,C0361,P043,2024-01-12,2024-01-12 12:32:55.178192,2,29.72
T000255,C0352,P026,2024-06-03,2024-06-03 08:05:39.883575,2,577.56
T000256,C0419,P081,2025-03-03,2025-03-03 18:52:25.314763,4,1314.84
T000257,C0033,P098,2023-11-10,2023-11-10 05:18:27.956192,1,177.94
T000258,C0093,P094,2025-03-06,2025-03-06 14:02:26.656141,1,89.5
T000259,C0225,P025,2024-06-01,2024-06-01 16:30:40.579846,1,120.12
T000260,C0242,P020,2023-08-28,2023-08-28 13:58:20.083854,2,823.78
T000261,C0310,P071,2024-12-22,2024-12-22 15:11:25.919089,5,173.35
T000262,C0439,P082,2024-03-15,2024-03-15 10:06:13.013021,3,343.86
T000263,C0153,P012,2024-07-18,2024-07-18 22:50:49.963206,3,641.88
T000264,C0406,P011,2024-03-07,2024-03-07 01:03:02.578453,3,665.22
T000265,C0420,P054,2024-08-13,2024-08-13 15:49:24.368763,4,1720.0
T000266,C0269,P028,2023-11-05,2023-11-05 23:43:46.823057,5,536.6
T000267,C0099,P033,2024-06-05,2024-06-05 05:59:04.916348,3,1275.03
T000268,C0145,P054,2023-07-07,2023-07-07 06:54:38.871288,2,860.0
T000269,C0444,P078,2024-06-28,2024-06-28 01:05:57.964313,5,2471.15
T000270,C0467,P095,2023-12-03,2023-12-03 23:13:59.757596,2,152.26
T000271,C0371,P013,2024-07-12,2024-07-12 06:45:27.458466,4,1991.44
T000272,C0104,P011,2023-05-15,2023-05-15 16:23:32.882653,2,443.48
T000273,C0039,P023,2025-03-02,2025-03-02 14:05:42.567041,4,1059.92
T000274,C0454,P095,2023-12-09,2023-12-09 13:14:26.028400,3,228.39
T000275,C0428,P097,2025-04-27,2025-04-27 06:34:19.832348,2,851.12
T000276,C0496,P071,2024-06-27,2024-06-27 22:48:56.945395,3,104.01
T000277,C0243,P080,2024-08-17,2024-08-17 15:38:42.759732,5,90.7
T000278,C0101,P067,2024-03-12,2024-03-12 15:08:01.638903,2,860.24
T000279,C0310,P021,2023-06-02,2023-06-02 19:40:00.021882,2,450.78
T000280,C0216,P060,2024-09-20,2024-09-20 06:28:21.693539,4,371.84
T000281,C0386,P052,2025-04-16,2025-04-16 12:04:18.799783,1,117.91
T000282,C0444,P069,2024-03-25,2024-03-25 09:14:49.442582,2,898.92
T000283,C0450,P029,2024-03-12,2024-03-12 19:34:59.651479,4,447.32
T000284,C0015,P055,2024-11-07,2024-11-07 03:22:22.882165,3,1340.4
T000285,C0457,P087,2023-11-12,2023-11-12 14:33:38.228744,4,1465.08
T000286,C0230,P087,2025-04-17,2025-04-17 12:57:53.078642,5,1831.35
T000287,C0246,P023,2023-10-05,2023-10-05 03:02:00.754814,2,529.96
T000288,C0272,P095,2023-11-16,2023-11-16 23:52:40.553176,4,304.52
T000289,C0274,P031,2024-07-17,2024-07-17 15:47:47.177119,2,312.2
T000290,C0224,P013,2024-05-06,2024-05-06 11:18:05.869985,1,497.86
T000291,C0400,P081,2024-01-30,2024-01-30 00:24:35.862618,5,1643.55
T000292,C0106,P093,2023-11-29,2023-11-29 19:03:54.773443,3,896.55
T000293,C0434,P041,2024-03-21,2024-03-21 06:53:30.943515,1,402.72
T000294,C0074,P069,2024-11-14,2024-11-14 13:36:35.380611,2,898.92
T000295,C0046,P047,2025-01-04,2025-01-04 19:07:59.438864,5,256.25
T000296,C0270,P002,2024-06-19,2024-06-19 23:20:51.572700,2,418.98
T000297,C0298,P076,2023-07-10,2023-07-10 08:14:52.698361,3,116.28
T000298,C0218,P032,2025-02-17,2025-02-17 13:34:20.133061,2,498.56
T000299,C0393,P038,2024-10-26,2024-10-26 00:00:18.110130,4,679.36
T000300,C0327,P049,2023-09-10,2023-09-10 12:31:33.012056,1,51.07
T000301,C0021,P028,2023-10-08,2023-10-08 17:45:08.975051,1,107.32
T000302,C0420,P069,2023-06-18,2023-06-18 09:57:16.059168,4,1797.84
T000303,C0002,P064,2024-04-15,2024-04-15 15:54:49.929573,4,268.24
T000304,C0046,P012,2024-08-14,2024-08-14 21:11:49.893109,1,213.96
T000305,C0311,P062,2023-09-19,2023-09-19 22:51:03.691272,5,1660.65
T000306,C0007,P089,2025-02-22,2025-02-22 08:49:27.228138,1,218.83
T000307,C0006,P022,2023-07-07,2023-07-07 01:33:16.878524,4,1064.68
T000308,C0267,P024,2023-09-01,2023-09-01 02:54:06.798749,5,1289.85
T000309,C0070,P100,2025-04-11,2025-04-11 01:05:59.430687,4,655.48
T000310,C0331,P047,2025-01-09,2025-01-09 04:52:47.857756,2,102.5
T000311,C0333,P035,2024-08-29,2024-08-29 00:16:44.763523,2,623.46
T000312,C0420,P027,2025-03-24,2025-03-24 09:15:01.858869,3,512.85
T000313,C0338,P002,2024-10-08,2024-10-08 19:00:29.482047,1,209.49
T000314,C0230,P008,2023-11-14,2023-11-14 20:43:22.744773,4,813.88
T000315,C0161,P004,2025-03-13,2025-03-13 06:54:22.822684,5,369.95
T000316,C0137,P019,2023-10-06,2023-10-06 00:30:13.708905,5,172.6
T000317,C0168,P058,2023-10-30,2023-10-30 14:01:19.279326,3,1088.52
T000318,C0460,P058,2024-02-10,2024-02-10 21:52:48.770043,3,1088.52
T000319,C0249,P051,2024-02-14,2024-02-14 11:30:36.226490,5,1195.3
T000320,C0451,P013,2024-05-06,2024-05-06 16:34:59.594121,4,1991.44
T000321,C0444,P040,2024-10-27,2024-10-27 10:43:01.700692,5,399.05
T000322,C0404,P093,2024-09-15,2024-09-15 21:05:03.731966,5,1494.25
T000323,C0329,P051,2023-07-05,2023-07-05 03:04:51.600006,1,239.06
T000324,C0219,P085,2024-01-22,2024-01-22 02:56:51.909172,4,1624.72
T000325,C0334,P004,2023-05-12,2023-05-12 18:57:16.630579,2,147.98
T000326,C0444,P013,2023-07-06,2023-07-06 00:52:25.540228,5,2489.3
T000327,C0147,P094,2024-06-01,2024-06-01 15:27:56.100419,4,358.0
T000328,C0369,P092,2024-05-24,2024-05-24 08:49:34.950387,4,219.92
T000329,C0388,P041,2024-09-14,2024-09-14 13:29:44.892592,2,805.44
T000330,C0105,P096,2024-01-25,2024-01-25 12:49:20.831098,5,668.15
T000331,C0435,P017,2024-09-22,2024-09-22 02:08:39.397608,3,126.15
T000332,C0306,P017,2023-12-17,2023-12-17 04:29:16.267628,5,210.25
T000333,C0279,P078,2023-11-23,2023-11-23 20:21:55.800485,4,1976.92
T000334,C0392,P037,2023-09-12,2023-09-12 22:08:19.659136,4,421.88
T000335,C0428,P072,2023-11-19,2023-11-19 12:02:51.154633,3,1298.55
T000336,C0353,P061,2024-05-12,2024-05-12 19:02:31.460579,1,111.18
T000337,C0284,P091,2024-09-26,2024-09-26 13:51:30.664623,1,297.64
T000338,C0100,P063,2023-05-18,2023-05-18 09:00:47.824798,4,984.52
T000339,C0471,P089,2023-08-07,2023-08-07 08:26:49.376914,3,656.49
T000340,C0082,P046,2024-08-18,2024-08-18 12:15:44.495463,4,1265.6
T000341,C0168,P030,2025-02-04,2025-02-04 21:25:13.160053,1,331.12
T000342,C0273,P027,2025-01-13,2025-01-13 22:58:33.869849,3,512.85
T000343,C0066,P055,2023-10-19,2023-10-19 21:33:19.927046,2,893.6
T000344,C0150,P077,2023-10-13,2023-10-13 15:43:23.918761,2,199.14
T000345,C0320,P014,2025-03-02,2025-03-02 15:39:17.407625,3,915.9
